THIx,THIy,KNEx,KNEy,TIBx,TIBy,knee angle
0.4828125,0.524456522,0.5,0.611413043,0.5140625,0.725543478,1128
0.4875,0.524456522,0.5046875,0.611413043,0.5171875,0.725543478,1238
0.4921875,0.524456522,0.509375,0.611413043,0.5203125,0.725543478,1351
0.5015625,0.527173913,0.5171875,0.614130435,0.5265625,0.72826087,1464
0.50625,0.527173913,0.5203125,0.614130435,0.5296875,0.72826087,1574
0.5109375,0.524456522,0.525,0.614130435,0.53125,0.72826087,1680
0.5140625,0.524456522,0.528125,0.614130435,0.5359375,0.72826087,1779
0.51875,0.524456522,0.5328125,0.611413043,0.540625,0.72826087,1869
0.5265625,0.524456522,0.540625,0.611413043,0.5484375,0.72826087,1950
0.53125,0.524456522,0.5453125,0.611413043,0.5515625,0.72826087,2021
0.5359375,0.524456522,0.5484375,0.611413043,0.5546875,0.72826087,2080
0.5390625,0.524456522,0.553125,0.611413043,0.55625,0.72826087,2127
0.5421875,0.524456522,0.55625,0.611413043,0.5578125,0.730978261,2162
0.5484375,0.524456522,0.5609375,0.611413043,0.5609375,0.730978261,2185
0.5515625,0.524456522,0.5625,0.614130435,0.5609375,0.730978261,2197
0.553125,0.524456522,0.5640625,0.614130435,0.5625,0.730978261,2197
0.55625,0.524456522,0.565625,0.614130435,0.5640625,0.730978261,2187
0.5578125,0.524456522,0.5671875,0.614130435,0.5640625,0.730978261,2167
0.5609375,0.524456522,0.5703125,0.614130435,0.565625,0.730978261,2138
0.5640625,0.524456522,0.571875,0.614130435,0.5671875,0.730978261,2102
0.565625,0.524456522,0.5734375,0.614130435,0.5671875,0.730978261,2060
0.56875,0.524456522,0.575,0.614130435,0.56875,0.730978261,2013
0.5703125,0.524456522,0.5765625,0.614130435,0.56875,0.730978261,1962
0.575,0.52173913,0.5796875,0.614130435,0.5703125,0.730978261,1907
0.578125,0.524456522,0.5796875,0.614130435,0.5703125,0.730978261,1851
0.5796875,0.524456522,0.58125,0.614130435,0.5703125,0.730978261,1794
0.58125,0.524456522,0.58125,0.614130435,0.571875,0.730978261,1737
0.5828125,0.52173913,0.5828125,0.614130435,0.571875,0.730978261,1680
0.5859375,0.52173913,0.584375,0.614130435,0.571875,0.730978261,1625
0.5875,0.52173913,0.584375,0.616847826,0.5734375,0.730978261,1570
0.5890625,0.52173913,0.584375,0.614130435,0.5734375,0.730978261,1517
0.590625,0.52173913,0.5859375,0.614130435,0.5734375,0.730978261,1466
0.5921875,0.52173913,0.5875,0.616847826,0.575,0.730978261,1416
0.5953125,0.524456522,0.5890625,0.616847826,0.5765625,0.730978261,1369
0.5953125,0.524456522,0.590625,0.616847826,0.5765625,0.730978261,1323
0.5984375,0.524456522,0.5921875,0.614130435,0.578125,0.730978261,1280
0.6,0.524456522,0.5921875,0.616847826,0.578125,0.730978261,1239
0.6015625,0.524456522,0.59375,0.616847826,0.578125,0.730978261,1201
0.6046875,0.524456522,0.5953125,0.616847826,0.5796875,0.730978261,1165
0.60625,0.524456522,0.596875,0.616847826,0.5796875,0.730978261,1131
0.609375,0.524456522,0.596875,0.616847826,0.58125,0.730978261,1101
0.6109375,0.524456522,0.5984375,0.616847826,0.58125,0.730978261,1075
0.6125,0.524456522,0.6,0.616847826,0.5828125,0.72826087,1051
