frame,milisec,ASIx,ASIy,PSIx,PSIy,THIx,THIy,KNEx,KNEy,TIBx,TIBy,ANKx,ANKy,TOEx,TOEy,HEEx,HEEy,hip angle,knee angle,ankle angle
166,None,None,None,None,None,0.8296875,0.48333333333333334,0.7984375,0.5833333333333334,0.8,0.6833333333333333,None,None,None,None,None,None,None,None,None
167,None,None,None,None,None,0.8296875,0.48333333333333334,0.7984375,0.5833333333333334,0.8,0.6833333333333333,None,None,None,None,None,None,None,None,None
168,None,None,None,None,None,0.82578125,0.4847222222222222,0.79453125,0.5833333333333334,0.79375,0.6847222222222222,None,None,None,None,None,None,None,None,None
169,None,None,None,None,None,0.82578125,0.4847222222222222,0.79453125,0.5833333333333334,0.79375,0.6847222222222222,None,None,None,None,None,None,None,None,None
170,None,None,None,None,None,0.82265625,0.4847222222222222,0.78984375,0.5847222222222223,0.78828125,0.6847222222222222,None,None,None,None,None,None,None,None,None
171,None,None,None,None,None,0.82265625,0.4847222222222222,0.78984375,0.5847222222222223,0.78828125,0.6847222222222222,None,None,None,None,None,None,None,None,None
172,None,None,None,None,None,0.81953125,0.4861111111111111,0.7859375,0.5847222222222223,0.7828125,0.6847222222222222,None,None,None,None,None,None,None,None,None
173,None,None,None,None,None,0.81953125,0.4861111111111111,0.7859375,0.5847222222222223,0.7828125,0.6847222222222222,None,None,None,None,None,None,None,None,None
174,None,None,None,None,None,0.81640625,0.4861111111111111,0.78203125,0.5847222222222223,0.77734375,0.6861111111111111,None,None,None,None,None,None,None,None,None
175,None,None,None,None,None,0.81640625,0.4861111111111111,0.78203125,0.5847222222222223,0.77734375,0.6861111111111111,None,None,None,None,None,None,None,None,None
176,None,None,None,None,None,0.8125,0.4875,0.77890625,0.5861111111111111,0.77265625,0.6861111111111111,None,None,None,None,None,None,None,None,None
177,None,None,None,None,None,0.8125,0.4875,0.77890625,0.5861111111111111,0.77265625,0.6861111111111111,None,None,None,None,None,None,None,None,None
178,None,None,None,None,None,0.809375,0.4875,0.775,0.5861111111111111,0.76796875,0.6861111111111111,None,None,None,None,None,None,None,None,None
179,None,None,None,None,None,0.809375,0.4875,0.775,0.5861111111111111,0.76796875,0.6861111111111111,None,None,None,None,None,None,None,None,None
180,None,None,None,None,None,0.80625,0.4888888888888889,0.771875,0.5861111111111111,0.76328125,0.6875,None,None,None,None,None,None,None,None,None
181,None,None,None,None,None,0.80625,0.4888888888888889,0.771875,0.5861111111111111,0.76328125,0.6875,None,None,None,None,None,None,None,None,None
182,None,None,None,None,None,0.803125,0.4888888888888889,0.76875,0.5875,0.75859375,0.6875,None,None,None,None,None,None,None,None,None
183,None,None,None,None,None,0.803125,0.4888888888888889,0.76875,0.5875,0.75859375,0.6875,None,None,None,None,None,None,None,None,None
184,None,None,None,None,None,0.8,0.49027777777777776,0.765625,0.5875,0.75390625,0.6875,None,None,None,None,None,None,None,None,None
185,None,None,None,None,None,0.8,0.49027777777777776,0.765625,0.5875,0.75390625,0.6875,None,None,None,None,None,None,None,None,None
186,None,None,None,None,None,0.79609375,0.49166666666666664,0.76171875,0.5888888888888889,0.75,0.6888888888888889,None,None,None,None,None,None,None,None,None
187,None,None,None,None,None,0.79609375,0.49166666666666664,0.76171875,0.5888888888888889,0.75,0.6888888888888889,None,None,None,None,None,None,None,None,None
188,None,None,None,None,None,0.79296875,0.49166666666666664,0.75859375,0.5888888888888889,0.7453125,0.6888888888888889,None,None,None,None,None,None,None,None,None
189,None,None,None,None,None,0.79296875,0.49166666666666664,0.75859375,0.5888888888888889,0.7453125,0.6888888888888889,None,None,None,None,None,None,None,None,None
190,None,None,None,None,None,0.78984375,0.4930555555555556,0.75546875,0.5902777777777778,0.74140625,0.6902777777777778,None,None,None,None,None,None,None,None,None
191,None,None,None,None,None,0.78984375,0.4930555555555556,0.75546875,0.5902777777777778,0.74140625,0.6902777777777778,None,None,None,None,None,None,None,None,None
192,None,None,None,None,None,0.78671875,0.49444444444444446,0.75234375,0.5916666666666667,0.7375,0.6902777777777778,None,None,None,None,None,None,None,None,None
193,None,None,None,None,None,0.78671875,0.49444444444444446,0.75234375,0.5916666666666667,0.7375,0.6902777777777778,None,None,None,None,None,None,None,None,None
194,None,None,None,None,None,0.78359375,0.49444444444444446,0.74921875,0.5916666666666667,0.7328125,0.6902777777777778,None,None,None,None,None,None,None,None,None
195,None,None,None,None,None,0.78359375,0.49444444444444446,0.74921875,0.5916666666666667,0.7328125,0.6902777777777778,None,None,None,None,None,None,None,None,None
196,None,None,None,None,None,0.78046875,0.49583333333333335,0.74609375,0.5916666666666667,0.72890625,0.6902777777777778,None,None,None,None,None,None,None,None,None
197,None,None,None,None,None,0.78046875,0.49583333333333335,0.74609375,0.5916666666666667,0.72890625,0.6902777777777778,None,None,None,None,None,None,None,None,None
198,None,None,None,None,None,0.7765625,0.49722222222222223,0.7421875,0.5930555555555556,0.725,0.6902777777777778,None,None,None,None,None,None,None,None,None
199,None,None,None,None,None,0.7765625,0.49722222222222223,0.7421875,0.5930555555555556,0.725,0.6902777777777778,None,None,None,None,None,None,None,None,None
200,None,None,None,None,None,0.7734375,0.49722222222222223,0.7390625,0.5930555555555556,0.721875,0.6916666666666667,None,None,None,None,None,None,None,None,None
201,None,None,None,None,None,0.7734375,0.49722222222222223,0.7390625,0.5930555555555556,0.721875,0.6916666666666667,None,None,None,None,None,None,None,None,None
202,None,None,None,None,None,0.7703125,0.4986111111111111,0.7359375,0.5944444444444444,0.71796875,0.6916666666666667,None,None,None,None,None,None,None,None,None
203,None,None,None,None,None,0.7703125,0.4986111111111111,0.7359375,0.5944444444444444,0.71796875,0.6916666666666667,None,None,None,None,None,None,None,None,None
204,None,None,None,None,None,0.76640625,0.5,0.73203125,0.5944444444444444,0.7140625,0.6916666666666667,None,None,None,None,None,None,None,None,None
205,None,None,None,None,None,0.76640625,0.5,0.73203125,0.5944444444444444,0.7140625,0.6916666666666667,None,None,None,None,None,None,None,None,None
206,None,None,None,None,None,0.76328125,0.5,0.728125,0.5944444444444444,0.71015625,0.6916666666666667,None,None,None,None,None,None,None,None,None
207,None,None,None,None,None,0.76328125,0.5,0.728125,0.5944444444444444,0.71015625,0.6916666666666667,None,None,None,None,None,None,None,None,None
208,None,None,None,None,None,0.759375,0.5013888888888889,0.725,0.5944444444444444,0.70703125,0.6916666666666667,None,None,None,None,None,None,None,None,None
209,None,None,None,None,None,0.759375,0.5013888888888889,0.725,0.5944444444444444,0.70703125,0.6916666666666667,None,None,None,None,None,None,None,None,None
210,None,None,None,None,None,0.75625,0.5013888888888889,0.72109375,0.5944444444444444,0.703125,0.6930555555555555,None,None,None,None,None,None,None,None,None
211,None,None,None,None,None,0.75625,0.5013888888888889,0.72109375,0.5944444444444444,0.703125,0.6930555555555555,None,None,None,None,None,None,None,None,None
212,None,None,None,None,None,0.75234375,0.5013888888888889,0.7171875,0.5958333333333333,0.7,0.6930555555555555,None,None,None,None,None,None,None,None,None
213,None,None,None,None,None,0.75234375,0.5013888888888889,0.7171875,0.5958333333333333,0.7,0.6930555555555555,None,None,None,None,None,None,None,None,None
214,None,None,None,None,None,0.7484375,0.5027777777777778,0.7140625,0.5958333333333333,0.69609375,0.6930555555555555,None,None,None,None,None,None,None,None,None
215,None,None,None,None,None,0.7484375,0.5027777777777778,0.7140625,0.5958333333333333,0.69609375,0.6930555555555555,None,None,None,None,None,None,None,None,None
216,None,None,None,None,None,0.74453125,0.5027777777777778,0.71015625,0.5972222222222222,0.69296875,0.6944444444444444,None,None,None,None,None,None,None,None,None
217,None,None,None,None,None,0.74453125,0.5027777777777778,0.71015625,0.5972222222222222,0.69296875,0.6944444444444444,None,None,None,None,None,None,None,None,None
218,None,None,None,None,None,0.74140625,0.5041666666666667,0.70625,0.5972222222222222,0.68984375,0.6944444444444444,None,None,None,None,None,None,None,None,None
219,None,None,None,None,None,0.74140625,0.5041666666666667,0.70625,0.5972222222222222,0.68984375,0.6944444444444444,None,None,None,None,None,None,None,None,None
220,None,None,None,None,None,0.7375,0.5041666666666667,0.70234375,0.5972222222222222,0.68671875,0.6958333333333333,None,None,None,None,None,None,None,None,None
221,None,None,None,None,None,0.7375,0.5041666666666667,0.70234375,0.5972222222222222,0.68671875,0.6958333333333333,None,None,None,None,None,None,None,None,None
222,None,None,None,None,None,0.73359375,0.5041666666666667,0.6984375,0.5972222222222222,0.68359375,0.6972222222222222,None,None,None,None,None,None,None,None,None
223,None,None,None,None,None,0.73359375,0.5041666666666667,0.6984375,0.5972222222222222,0.68359375,0.6972222222222222,None,None,None,None,None,None,None,None,None
224,None,None,None,None,None,0.7296875,0.5041666666666667,0.69453125,0.5972222222222222,0.68046875,0.6972222222222222,None,None,None,None,None,None,None,None,None
225,None,None,None,None,None,0.7296875,0.5041666666666667,0.69453125,0.5972222222222222,0.68046875,0.6972222222222222,None,None,None,None,None,None,None,None,None
226,None,None,None,None,None,0.72578125,0.5041666666666667,0.69140625,0.5972222222222222,0.67734375,0.6972222222222222,None,None,None,None,None,None,None,None,None
227,None,None,None,None,None,0.72578125,0.5041666666666667,0.69140625,0.5972222222222222,0.67734375,0.6972222222222222,None,None,None,None,None,None,None,None,None
228,None,None,None,None,None,0.721875,0.5041666666666667,0.6875,0.5972222222222222,0.67421875,0.6972222222222222,None,None,None,None,None,None,None,None,None
229,None,None,None,None,None,0.721875,0.5041666666666667,0.6875,0.5972222222222222,0.67421875,0.6972222222222222,None,None,None,None,None,None,None,None,None
230,None,None,None,None,None,0.71796875,0.5027777777777778,0.684375,0.5972222222222222,0.67109375,0.6972222222222222,None,None,None,None,None,None,None,None,None
231,None,None,None,None,None,0.71796875,0.5027777777777778,0.684375,0.5972222222222222,0.67109375,0.6972222222222222,None,None,None,None,None,None,None,None,None
232,None,None,None,None,None,0.7140625,0.5027777777777778,0.68125,0.5972222222222222,0.66796875,0.6958333333333333,None,None,None,None,None,None,None,None,None
233,None,None,None,None,None,0.7140625,0.5027777777777778,0.68125,0.5972222222222222,0.66796875,0.6958333333333333,None,None,None,None,None,None,None,None,None
234,None,None,None,None,None,0.7109375,0.5027777777777778,0.67734375,0.5972222222222222,0.6640625,0.6958333333333333,None,None,None,None,None,None,None,None,None
235,None,None,None,None,None,0.7109375,0.5027777777777778,0.67734375,0.5972222222222222,0.6640625,0.6958333333333333,None,None,None,None,None,None,None,None,None
236,None,None,None,None,None,0.70703125,0.5013888888888889,0.6734375,0.5958333333333333,0.66015625,0.6958333333333333,None,None,None,None,None,None,None,None,None
